@relation horse-colic-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.OrdinalToNumeric-Rfirst-last

@attribute surgery numeric
@attribute Age numeric
@attribute rectal_temperature numeric
@attribute pulse numeric
@attribute respiratory_rate numeric
@attribute temp_extremities numeric
@attribute peripheral_pulse numeric
@attribute mucous_membranes numeric
@attribute capillary_refill_time numeric
@attribute pain numeric
@attribute peristalsis numeric
@attribute abdominal_distension numeric
@attribute nasogastric_tube numeric
@attribute nasogastric_reflux numeric
@attribute nasogastric_reflux_PH numeric
@attribute rectal_examination numeric
@attribute abdomen numeric
@attribute packed_cell_volume numeric
@attribute total_protein numeric
@attribute abdominocentesis_appearance numeric
@attribute abdomcentesis_total_protein numeric
@attribute outcome numeric
@attribute class {yes,no}

@data
1,0,39.5,70.75731,30.521886,2,2,3,1,2,3,2,1,2,5.5,3,4,45.656798,6.7,0,2.94812,2,yes
0,0,36.5,78,30,0,0,0,0,4,2,0,1,0,4.962319,3,4,34,75,1,1,0,yes
1,0,38.1,56,20,1,0,1,0,0,2,0,0,0,4.962319,3,4,46,70,1,2.94812,0,no
0,0,39.4,54,66,0,0,1,0,1,2,1,0,0,4.962319,2,3,39,6,1,2.94812,0,yes
0,0,38.3,80,40,2,0,5,1,3,2,0,1,1,4.962319,0,3,67,10.2,1,1,2,yes
1,0,38.7,40,28,1,0,0,0,2,0,0,1,0,4.962319,0,4,39,62,0,1,0,no
0,0,38.2,64,24,0,0,2,0,3,3,2,1,0,4.962319,3,3,45,7.5,0,2,1,yes
1,0,37.6,48,20,2,0,3,0,0,0,2,1,0,4.962319,0,0,37,5.5,1,2.94812,2,yes
0,0,38,42,68,3,0,0,0,2,2,1,1,1,4.962319,3,3,41,7.6,1,2.94812,0,yes
0,0,38.7,70.75731,30.521886,2,0,2,0,4,3,1,1,0,4.962319,3,4,33,6.5,1,2.94812,0,yes
0,0,37.4,50,32,2,2,0,0,3,3,0,1,0,4.962319,0,4,45,7.9,1,1,0,yes
0,0,37.4,84,20,2,0,2,0,1,2,2,1,0,4.962319,3,4,31,61,1,1,2,no
0,0,38.4,49,30.521886,2,0,0,0,2,2,0,1,0,4.962319,3,4,44,7.6,1,2.94812,0,yes
0,0,37.8,30,12,2,0,0,0,2,2,0,1,0,4.962319,3,4,45.656798,24.771077,1,2.94812,1,yes
1,0,37.6,88,36,2,0,0,0,2,2,1,0,2,1.5,3,4,44,6,1,2.94812,1,yes
0,0,38,48,20,2,0,2,0,3,2,0,1,0,4.962319,2,4,43,73,1,1,0,yes
1,0,37.9,40,24,0,0,0,0,1,2,0,1,0,4.962319,3,2,40,5.7,1,2.94812,0,yes
0,0,38.134448,100,30.521886,2,0,3,1,4,3,0,1,0,4.962319,1,4,59,6.3,1,2.94812,1,yes
0,1,38.1,136,48,2,2,2,0,4,0,2,1,1,4.4,1,4,33,4.9,1,2.9,1,yes
0,0,38.134448,70.75731,30.521886,2,2,2,1,4,2,2,2,1,4.962319,3,4,46,5.9,1,2.94812,1,yes
0,0,38,48,30.521886,0,0,0,0,0,1,3,1,1,4.962319,3,4,45.656798,24.771077,1,2.94812,0,yes
1,0,38,56,30.521886,0,1,2,0,0,0,0,0,0,4.962319,0,0,42,71,1,2.94812,0,no
1,0,38,60,32,0,0,0,0,2,2,0,0,0,4.962319,3,4,50,7,0,1,0,no
0,0,38.1,44,9,2,0,0,0,1,1,0,0,0,4.962319,3,4,31,7.3,1,2.94812,0,no
1,0,36,42,30,2,0,4,0,2,2,0,1,0,4.962319,3,4,64,6.8,1,2.94812,1,no
0,0,38.134448,120,30.521886,3,2,5,1,4,3,3,1,0,4.962319,3,4,57,4.5,2,3.9,1,yes
0,0,37.8,48,28,0,0,0,1,0,1,0,1,0,4.962319,0,0,46,5.9,1,7,0,no
0,0,37.1,84,40,2,2,5,0,1,3,3,2,1,2,3,4,75,81,1,2.94812,2,no
1,0,38.134448,80,32,2,2,1,0,1,2,2,1,0,4.962319,2,4,50,80,1,2.94812,0,yes
0,0,38.2,48,30.521886,0,2,2,0,2,3,3,0,2,2,3,4,42,71,1,2.94812,0,yes
1,0,38,44,12,1,0,2,0,2,3,2,0,1,6.5,0,3,33,6.5,1,2.94812,1,yes
0,0,38.3,132,30.521886,2,2,5,1,1,3,1,1,2,6.2,3,3,57,8,1,5.2,0,yes
1,0,38.7,48,24,2,0,0,0,0,0,0,0,0,4.962319,0,4,34,63,1,2.94812,0,no
1,0,38.9,44,14,2,0,0,0,1,2,1,1,0,4.962319,3,1,33,64,1,2.94812,0,no
0,0,39.3,70.75731,30.521886,3,2,5,1,3,3,1,0,2,4,3,3,75,24.771077,2,4.3,1,yes
0,0,38.134448,100,30.521886,2,2,3,1,2,3,3,1,0,2,3,4,68,64,2,2,0,yes
1,0,38.6,48,20,2,0,0,0,0,2,1,1,0,4.962319,2,1,50,7.3,0,2.94812,0,no
1,0,38.8,48,40,0,0,2,0,2,2,3,1,0,4.962319,3,4,41,65,1,2.94812,0,yes
1,0,38,48,20,2,2,3,0,0,3,1,1,0,5,3,1,49,8.3,0,2.94812,0,no
1,0,38.6,52,20,0,0,0,0,2,2,1,0,0,4.962319,0,2,36,6.6,0,5,0,no
0,0,37.8,60,24,0,0,2,1,2,3,3,1,2,2,3,4,52,75,1,2.94812,2,yes
1,0,38,42,40,2,0,0,0,2,2,0,1,0,4.962319,3,4,45.656798,24.771077,1,2.94812,0,no
1,0,38.134448,70.75731,12,0,0,1,0,1,0,1,2,0,4.962319,0,2,44,7.5,1,2.94812,0,no
0,0,38.134448,70.75731,30.521886,2,0,0,0,3,2,0,0,0,4.962319,3,4,35,58,1,1,0,yes
0,0,38.3,42,24,2,0,0,0,2,2,0,1,0,4.962319,3,4,40,8.5,1,2.94812,1,yes
1,0,39.5,60,10,2,0,0,1,2,2,1,1,0,4.962319,2,4,38,56,0,2.94812,0,no
0,0,38,66,20,0,2,2,0,4,2,0,0,0,4.962319,2,4,46,46,2,2,2,yes
0,0,38.7,76,30.521886,0,0,4,1,2,2,1,1,1,4.962319,3,3,50,8,1,2.94812,0,yes
0,0,39.4,120,48,2,0,4,0,2,2,2,0,0,4.962319,3,4,56,64,0,2,2,no
0,0,38.3,40,18,0,0,0,0,2,0,0,1,0,4.962319,1,0,43,5.9,0,2.94812,0,no
1,0,38.134448,44,24,0,0,0,0,2,2,0,1,0,4.962319,3,0,45.656798,6.3,1,2.94812,0,no
0,0,38.4,104,40,0,0,2,0,1,3,1,1,2,6.5,3,3,55,8.5,1,2.94812,0,yes
0,0,38.134448,65,24,2,0,0,1,4,2,3,2,0,4.962319,3,4,45.656798,24.771077,1,2.94812,2,yes
1,0,37.5,44,20,0,0,2,0,2,0,0,1,0,4.962319,0,4,35,7.2,1,2.94812,0,no
1,0,39,86,16,2,2,4,0,2,2,2,1,1,4.962319,3,4,68,5.8,2,6,1,yes
0,0,38.5,129,48,2,2,2,0,1,3,2,0,2,2,3,4,57,66,2,2,0,yes
0,0,38.134448,104,30.521886,2,2,4,1,1,3,2,1,2,4.962319,3,3,69,8.6,1,3.4,1,yes
1,0,38.134448,70.75731,30.521886,2,3,5,0,3,2,3,1,0,4.962319,3,4,45.656798,24.771077,1,2.94812,1,yes
0,0,38.134448,70.75731,30.521886,2,0,0,0,2,2,0,1,0,4.962319,3,4,45.656798,24.771077,1,2.94812,0,yes
0,0,38.2,60,30,0,0,2,0,2,2,0,1,0,4.962319,2,1,48,66,1,2.94812,0,yes
0,0,38.134448,68,14,2,0,3,0,3,2,0,1,0,4.3,3,4,45.656798,24.771077,1,2.8,1,yes
0,0,38.134448,60,30,2,2,3,1,4,3,3,0,0,4.962319,3,4,45,70,2,2,0,yes
1,0,38.5,100,30.521886,2,2,4,1,3,2,3,1,0,4.962319,3,4,45.656798,24.771077,1,2.94812,2,no
0,0,38.4,84,30,2,0,4,1,3,2,2,1,2,6.5,3,3,47,7.5,2,2.94812,1,yes
1,0,37.8,48,14,2,0,0,0,2,2,1,0,2,5.3,0,4,35,7.5,1,2.94812,0,no
0,0,38,70.75731,24,2,2,5,1,4,2,3,0,0,4.962319,3,4,68,7.8,1,2.94812,1,yes
1,0,37.8,56,16,0,0,1,0,1,0,0,1,0,4.962319,0,4,44,68,0,1,0,no
1,0,38.2,68,32,1,1,1,0,0,0,0,2,0,4.962319,0,0,43,65,1,2.94812,0,no
0,0,38.5,120,60,3,2,5,1,2,2,0,1,0,4.962319,3,4,54,24.771077,1,2.94812,0,yes
0,0,39.3,64,90,1,2,0,0,2,2,0,0,1,4.962319,3,4,39,6.7,1,2.94812,0,yes
0,0,38.4,80,30,3,2,0,0,2,2,2,2,2,4.962319,3,4,32,6.1,2,4.3,0,yes
0,0,38.5,60,30.521886,0,0,0,0,2,0,0,1,0,4.962319,3,4,33,53,0,2.94812,0,yes
0,0,38.3,60,16,2,0,0,0,1,0,0,1,1,3,0,3,30,6,0,3,0,yes
0,0,37.1,40,8,2,0,3,0,2,2,0,0,0,4.962319,2,2,23,6.7,2,2.94812,0,yes
1,1,38.134448,100,44,1,0,0,0,3,0,0,1,0,4.962319,0,4,37,4.7,1,2.94812,0,no
0,0,38.2,48,18,0,0,0,0,2,2,2,0,1,4.962319,3,4,48,74,0,2,0,yes
0,0,38.134448,60,48,2,2,3,1,3,2,3,1,0,4.962319,3,4,58,7.6,1,2.94812,1,yes
1,0,37.9,88,24,0,0,1,0,1,1,0,1,0,4.962319,3,0,37,56,1,2.94812,0,no
1,0,38,44,12,2,0,0,0,2,0,1,1,0,4.962319,0,4,42,64,1,2.94812,0,no
1,0,38.5,60,20,0,0,4,1,1,1,0,1,0,4.962319,1,2,63,7.5,1,2.3,2,no
1,0,38.5,96,36,2,2,0,1,1,3,1,0,1,4.962319,3,4,70,8.5,1,2.94812,1,yes
1,0,38.3,60,20,0,0,0,1,0,2,0,1,0,4.962319,2,4,34,66,1,2.94812,0,no
1,0,38.5,60,40,2,0,1,0,1,0,1,1,0,4.962319,2,1,49,59,1,2.94812,0,no
0,0,37.3,48,12,0,0,2,0,2,0,2,1,0,4.962319,2,2,40,6.6,1,2.94812,0,yes
0,0,38.5,86,30.521886,0,0,2,0,3,3,2,1,0,4.962319,2,4,45,7.4,0,3.4,1,yes
0,0,37.5,48,40,2,0,0,0,2,2,0,0,0,4.962319,3,4,41,55,2,2,2,yes
1,0,37.2,36,9,0,0,0,0,1,2,0,1,0,4.962319,3,0,35,5.7,1,2.94812,0,no
0,0,39.2,70.75731,23,2,0,2,0,3,3,1,1,0,4.962319,3,4,36,6.6,0,3,0,yes
1,0,38.5,100,30.521886,2,2,4,1,3,2,3,1,0,4.962319,3,4,45.656798,24.771077,1,2.94812,2,no
0,0,38.5,96,30,1,2,3,1,3,3,2,1,0,4.962319,2,4,50,65,1,2.94812,0,yes
0,0,38.134448,70.75731,30.521886,2,0,0,0,2,2,0,1,0,4.962319,3,4,45,8.7,1,2.94812,1,yes
0,0,37.8,88,80,2,2,4,1,2,2,2,1,2,4.962319,3,4,64,89,1,2.94812,2,yes
1,0,37.5,44,10,2,0,0,0,2,0,1,1,0,4.962319,2,2,43,51,0,1,0,no
0,0,37.9,68,20,2,0,1,0,1,3,1,1,0,4.962319,0,4,45,4,2,2.8,1,yes
0,0,38,86,24,3,2,3,0,1,3,3,0,0,4.962319,3,4,45,5.5,0,10.1,1,yes
0,1,38.9,120,30,0,2,1,1,2,2,2,2,0,3,3,4,47,6.3,0,2.94812,0,no
0,0,37.6,45,12,2,0,2,0,2,1,1,1,0,4.962319,0,3,39,7,1,1.5,0,yes
1,0,38.6,56,32,1,0,0,0,0,0,0,1,0,4.962319,1,4,40,7,1,2.1,0,no
0,0,37.8,40,12,0,0,0,0,0,1,0,1,0,4.962319,0,1,38,7,1,2.94812,0,yes
1,0,38.134448,70.75731,30.521886,2,0,0,0,2,2,0,1,0,4.962319,3,4,45.656798,24.771077,1,2.94812,0,no
0,0,38,76,18,2,0,0,1,2,2,0,1,0,4.962319,3,4,71,11,1,2.94812,0,yes
0,0,38.1,40,36,0,1,1,0,1,1,0,1,0,4.962319,3,4,45.656798,24.771077,1,2.94812,2,yes
0,0,38.134448,52,28,2,2,3,0,2,3,2,1,0,4.962319,3,3,37,8.1,1,2.94812,0,yes
0,0,39.2,88,58,3,3,0,1,4,3,0,1,0,4.962319,3,4,45.656798,24.771077,1,2,2,no
0,0,38.5,92,40,3,2,0,0,1,3,2,1,0,4.962319,3,4,46,67,1,2,0,yes
0,0,38.134448,112,13,3,3,3,0,1,2,0,1,0,4.5,3,3,60,6.3,2,2.94812,0,yes
0,0,37.7,66,12,0,0,2,0,2,2,1,1,0,4.962319,3,3,31.5,6.2,1,1.6,0,yes
0,0,38.8,50,14,0,0,0,0,2,0,0,0,0,4.962319,2,4,38,58,1,2.94812,0,yes
1,0,38.4,54,24,0,0,0,0,0,2,0,1,0,4.962319,2,1,49,7.2,0,8,0,no
0,0,39.2,120,20,3,2,4,1,1,2,2,0,2,4.962319,3,3,60,8.8,2,2.94812,1,yes
0,1,38.134448,70.75731,30.521886,2,0,0,0,2,2,0,1,0,4.962319,3,4,45,6.5,1,2.94812,0,yes
0,0,37.3,90,40,2,0,5,1,4,3,2,1,1,4.962319,0,4,65,50,2,2,2,yes
0,1,38.5,120,70,2,0,0,0,2,0,0,1,0,4.962319,0,4,35,54,0,1,0,yes
0,0,38.5,104,40,2,2,0,0,3,2,3,1,0,4.962319,3,4,45.656798,24.771077,1,2.94812,0,yes
1,0,39.5,92,28,2,2,5,0,4,3,0,1,2,4.962319,3,4,72,6.4,1,3.6,1,no
0,0,38.5,30,18,2,0,0,0,2,2,0,1,0,4.962319,3,4,40,7.7,1,2.94812,0,yes
0,0,38.3,72,30,3,2,2,1,2,2,2,1,0,4.962319,2,4,43,7,1,3.9,0,yes
1,0,37.5,48,30,3,0,2,0,2,1,0,0,0,4.962319,0,0,48,8.6,1,2.94812,0,no
