@relation mushroom-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.OrdinalToNumeric-Rfirst-last

@attribute cap-shape numeric
@attribute cap-surface numeric
@attribute cap-color numeric
@attribute bruises? numeric
@attribute odor numeric
@attribute gill-attachment numeric
@attribute gill-spacing numeric
@attribute gill-size numeric
@attribute gill-color numeric
@attribute stalk-shape numeric
@attribute stalk-root numeric
@attribute stalk-surface-above-ring numeric
@attribute stalk-surface-below-ring numeric
@attribute stalk-color-above-ring numeric
@attribute stalk-color-below-ring numeric
@attribute veil-type numeric
@attribute veil-color numeric
@attribute ring-number numeric
@attribute ring-type numeric
@attribute spore-print-color numeric
@attribute population numeric
@attribute habitat numeric
@attribute class {e,p}

@data
0,3,9,1,3,2,0,0,2,0,1,2,2,7,7,0,2,1,5,2,2,3,e
4,0,4,0,5,2,0,1,4,0,2,2,2,7,7,0,2,1,5,3,4,5,e
2,3,4,1,0,2,0,0,10,0,3,2,3,7,7,0,2,1,5,2,5,4,e
5,3,9,1,0,2,0,0,4,0,1,2,2,7,7,0,2,1,5,2,2,1,e
5,0,3,0,5,2,2,0,4,1,2,0,0,7,7,0,2,1,1,2,3,1,e
2,0,8,0,5,2,2,0,4,1,2,2,0,7,7,0,2,1,1,3,0,1,e
5,3,9,1,3,2,0,0,10,0,1,2,2,7,7,0,2,1,5,3,2,3,e
0,2,9,1,3,2,0,0,4,0,1,2,2,7,7,0,2,1,5,2,2,1,e
0,3,8,1,0,2,0,0,2,0,1,2,2,7,7,0,2,1,5,2,2,3,e
5,3,8,1,0,2,0,0,10,0,1,2,2,7,7,0,2,1,5,3,3,1,e
5,2,4,0,5,2,2,0,7,1,2,0,2,7,7,0,2,1,1,3,0,1,e
5,3,8,1,3,2,0,0,2,0,1,2,2,7,7,0,2,1,5,3,3,1,e
4,0,4,0,5,2,0,1,4,0,2,2,2,7,7,0,2,1,5,2,4,5,e
5,2,8,1,0,2,2,1,10,1,0,2,2,7,7,0,2,1,5,6,4,0,e
5,3,4,1,3,2,0,0,10,0,3,2,3,7,7,0,2,1,5,2,3,1,e
0,3,9,1,0,2,0,0,4,0,1,2,2,7,7,0,2,1,5,3,2,1,e
5,3,8,1,0,2,0,0,4,0,1,2,2,7,7,0,2,1,5,3,2,1,e
0,3,8,1,0,2,0,0,5,0,1,2,2,7,7,0,2,1,5,2,3,3,e
0,2,9,1,0,2,0,0,2,0,1,2,2,7,7,0,2,1,5,2,3,1,e
0,2,9,1,3,2,0,0,2,0,1,2,2,7,7,0,2,1,5,2,3,3,e
0,3,9,1,0,2,0,0,5,0,1,2,2,7,7,0,2,1,5,2,2,1,e
5,0,4,0,5,2,0,1,4,0,2,2,2,7,7,0,2,1,5,3,5,5,e
2,3,4,1,3,2,0,0,5,0,3,2,3,7,7,0,2,1,5,3,5,1,e
5,3,8,1,0,2,0,0,4,0,1,2,2,7,7,0,2,1,5,3,3,1,e
2,3,9,1,3,2,0,0,10,0,3,2,3,7,7,0,2,1,5,3,5,4,e
0,2,8,1,0,2,0,0,10,0,1,2,2,7,7,0,2,1,5,3,3,1,e
0,2,8,1,0,2,0,0,10,0,1,2,2,7,7,0,2,1,5,2,3,3,e
5,3,4,1,3,2,0,0,10,0,3,2,3,7,7,0,2,1,5,2,5,1,e
0,2,8,1,0,2,0,0,4,0,1,2,2,7,7,0,2,1,5,2,3,1,e
5,0,3,0,5,2,0,1,2,0,2,2,2,7,7,0,2,1,5,3,5,5,e
0,2,9,1,3,2,0,0,4,0,1,2,2,7,7,0,2,1,5,3,3,1,e
5,0,9,1,3,2,2,1,5,1,0,2,2,7,7,0,2,1,5,6,4,0,e
0,3,9,1,0,2,0,0,10,0,1,2,2,7,7,0,2,1,5,2,3,1,e
2,3,9,1,3,2,0,0,7,0,3,2,3,7,7,0,2,1,5,3,3,1,e
0,3,8,1,3,2,0,0,10,0,1,2,2,7,7,0,2,1,5,2,2,3,e
0,3,8,1,0,2,0,0,4,0,1,2,2,7,7,0,2,1,5,2,2,3,e
0,3,9,1,0,2,0,0,2,0,1,2,2,7,7,0,2,1,5,3,3,1,e
5,3,9,1,3,2,0,0,2,0,1,2,2,7,7,0,2,1,5,3,2,3,e
0,2,9,1,3,2,0,0,2,0,1,2,2,7,7,0,2,1,5,3,2,1,e
5,3,8,1,6,2,0,1,7,0,2,2,2,7,7,0,2,1,5,3,4,5,p
4,0,4,0,5,2,0,1,2,0,2,2,2,7,7,0,2,1,5,3,5,5,e
2,0,4,0,5,2,0,1,2,0,2,2,2,7,7,0,2,1,5,2,4,5,e
5,2,9,1,0,2,0,0,2,0,1,2,2,7,7,0,2,1,5,3,3,3,e
2,3,4,1,0,2,0,0,7,0,3,2,3,7,7,0,2,1,5,2,3,4,e
5,3,8,1,6,2,0,1,4,0,2,2,2,7,7,0,2,1,5,2,3,1,p
0,2,8,1,3,2,0,0,2,0,1,2,2,7,7,0,2,1,5,3,3,3,e
2,0,3,0,5,2,0,1,7,0,2,2,2,7,7,0,2,1,5,2,4,5,e
0,3,9,1,3,2,0,0,2,0,1,2,2,7,7,0,2,1,5,3,2,1,e
5,3,4,1,0,2,0,0,10,0,3,2,3,7,7,0,2,1,5,3,5,4,e
5,0,8,0,5,2,2,0,7,1,2,2,0,7,7,0,2,1,1,2,3,1,e
5,2,8,1,3,2,2,1,10,1,0,2,2,7,7,0,2,1,5,3,4,0,e
0,2,8,1,3,2,0,0,10,0,1,2,2,7,7,0,2,1,5,3,3,3,e
2,2,9,1,0,2,2,1,10,1,0,2,2,7,7,0,2,1,5,3,4,0,e
5,2,9,1,0,2,0,0,4,0,1,2,2,7,7,0,2,1,5,3,2,3,e
2,0,3,0,5,2,0,1,2,0,2,2,2,7,7,0,2,1,5,3,5,5,e
0,2,9,1,0,2,0,0,5,0,1,2,2,7,7,0,2,1,5,2,3,1,e
5,2,8,1,3,2,0,0,2,0,1,2,2,7,7,0,2,1,5,3,2,3,e
5,3,8,1,3,2,0,0,5,0,1,2,2,7,7,0,2,1,5,3,3,3,e
2,2,8,1,0,2,2,1,5,1,0,2,2,7,7,0,2,1,5,3,4,0,e
5,3,9,1,3,2,0,0,10,0,1,2,2,7,7,0,2,1,5,3,3,1,e
0,2,8,1,3,2,0,0,10,0,1,2,2,7,7,0,2,1,5,2,3,1,e
5,2,8,1,0,2,0,0,2,0,1,2,2,7,7,0,2,1,5,2,2,1,e
5,0,8,0,5,2,2,0,3,1,2,0,2,7,7,0,2,1,1,2,3,1,e
2,3,4,1,3,2,0,0,5,0,3,2,3,7,7,0,2,1,5,2,5,4,e
5,2,8,1,6,2,0,1,4,0,2,2,2,7,7,0,2,1,5,3,4,5,p
0,2,8,1,0,2,0,0,5,0,1,2,2,7,7,0,2,1,5,3,2,1,e
0,2,8,1,0,2,0,0,4,0,1,2,2,7,7,0,2,1,5,2,3,3,e
0,3,8,1,3,2,0,0,5,0,1,2,2,7,7,0,2,1,5,3,2,1,e
0,3,8,1,0,2,0,0,10,0,1,2,2,7,7,0,2,1,5,2,2,1,e
5,2,9,1,0,2,0,0,10,0,1,2,2,7,7,0,2,1,5,2,3,1,e
0,2,8,1,3,2,0,0,10,0,1,2,2,7,7,0,2,1,5,2,2,3,e
5,0,9,1,0,2,2,1,5,1,0,2,2,7,7,0,2,1,5,3,4,0,e
5,0,3,0,5,2,0,1,5,0,2,2,2,7,7,0,2,1,5,3,5,5,e
2,3,9,1,0,2,0,0,5,0,3,2,3,7,7,0,2,1,5,3,3,1,e
0,2,8,1,3,2,0,0,5,0,1,2,2,7,7,0,2,1,5,2,2,3,e
5,2,9,1,0,2,0,0,2,0,1,2,2,7,7,0,2,1,5,2,3,1,e
5,3,9,1,0,2,0,0,4,0,1,2,2,7,7,0,2,1,5,2,3,1,e
5,3,8,1,3,2,0,0,10,0,1,2,2,7,7,0,2,1,5,3,3,1,e
4,0,3,0,5,2,0,1,7,0,2,2,2,7,7,0,2,1,5,3,4,5,e
5,2,8,1,0,2,0,0,5,0,1,2,2,7,7,0,2,1,5,3,2,3,e
5,2,8,1,6,2,0,1,4,0,2,2,2,7,7,0,2,1,5,2,3,1,p
5,3,9,1,0,2,0,0,5,0,3,2,3,7,7,0,2,1,5,3,3,1,e
2,0,8,1,0,2,2,1,7,1,0,2,2,7,7,0,2,1,5,3,4,0,e
5,3,8,1,3,2,0,0,2,0,1,2,2,7,7,0,2,1,5,2,2,3,e
0,3,8,1,3,2,0,0,5,0,1,2,2,7,7,0,2,1,5,2,3,1,e
5,2,8,1,0,2,0,0,2,0,1,2,2,7,7,0,2,1,5,3,2,1,e
5,2,9,1,0,2,0,0,2,0,1,2,2,7,7,0,2,1,5,3,3,1,e
5,3,4,1,6,2,0,1,7,0,2,2,2,7,7,0,2,1,5,2,4,5,p
0,2,9,1,0,2,0,0,5,0,1,2,2,7,7,0,2,1,5,3,2,1,e
5,0,3,0,5,2,0,1,5,0,2,2,2,7,7,0,2,1,5,2,5,5,e
5,3,8,1,6,2,0,1,4,0,2,2,2,7,7,0,2,1,5,2,3,5,p
5,3,9,1,3,2,0,0,5,0,3,2,3,7,7,0,2,1,5,3,5,4,e
2,0,4,0,5,2,0,1,4,0,2,2,2,7,7,0,2,1,5,2,4,5,e
0,2,8,1,3,2,0,0,4,0,1,2,2,7,7,0,2,1,5,3,2,1,e
5,0,8,1,3,2,2,1,10,1,0,2,2,7,7,0,2,1,5,3,4,0,e
5,3,8,1,3,2,0,0,10,0,1,2,2,7,7,0,2,1,5,2,3,1,e
0,3,9,1,3,2,0,0,5,0,1,2,2,7,7,0,2,1,5,3,3,1,e
5,3,9,1,3,2,0,0,5,0,3,2,3,7,7,0,2,1,5,2,3,1,e
2,3,9,1,0,2,0,0,7,0,3,2,3,7,7,0,2,1,5,2,3,4,e
2,3,9,1,0,2,0,0,10,0,3,2,3,7,7,0,2,1,5,2,5,4,e
5,2,8,1,3,2,0,0,10,0,1,2,2,7,7,0,2,1,5,2,3,1,e
5,2,8,1,0,2,0,0,10,0,1,2,2,7,7,0,2,1,5,3,2,3,e
5,2,8,1,6,2,0,1,5,0,2,2,2,7,7,0,2,1,5,2,4,5,p
2,0,8,1,0,2,2,1,7,1,0,2,2,7,7,0,2,1,5,6,4,0,e
5,2,8,1,3,2,0,0,10,0,1,2,2,7,7,0,2,1,5,3,3,1,e
5,2,8,1,3,2,2,1,7,1,0,2,2,7,7,0,2,1,5,6,4,0,e
5,3,8,1,0,2,0,0,5,0,1,2,2,7,7,0,2,1,5,2,3,3,e
2,3,9,1,3,2,0,0,10,0,3,2,3,7,7,0,2,1,5,2,5,4,e
5,2,4,0,5,2,2,0,7,1,2,0,2,7,7,0,2,1,1,2,3,1,e
2,3,9,1,0,2,0,0,10,0,3,2,3,7,7,0,2,1,5,3,5,1,e
5,2,4,1,6,2,0,1,7,0,2,2,2,7,7,0,2,1,5,3,3,1,p
4,0,4,0,5,2,0,1,2,0,2,2,2,7,7,0,2,1,5,3,4,5,e
0,3,9,1,3,2,0,0,10,0,1,2,2,7,7,0,2,1,5,3,3,3,e
0,2,8,1,3,2,0,0,5,0,1,2,2,7,7,0,2,1,5,3,3,1,e
0,3,8,1,3,2,0,0,4,0,1,2,2,7,7,0,2,1,5,3,2,3,e
2,0,4,0,5,2,0,1,4,0,2,2,2,7,7,0,2,1,5,3,4,5,e
5,2,8,1,0,2,0,0,10,0,1,2,2,7,7,0,2,1,5,2,2,3,e
0,3,8,1,3,2,0,0,2,0,1,2,2,7,7,0,2,1,5,2,2,1,e
0,3,8,1,0,2,0,0,2,0,1,2,2,7,7,0,2,1,5,3,2,3,e
2,3,4,1,3,2,0,0,10,0,3,2,3,7,7,0,2,1,5,3,3,1,e
5,3,8,1,6,2,0,1,4,0,2,2,2,7,7,0,2,1,5,2,4,1,p
5,2,8,1,0,2,0,0,5,0,1,2,2,7,7,0,2,1,5,3,2,1,e
5,3,8,1,0,2,0,0,5,0,1,2,2,7,7,0,2,1,5,3,3,3,e
2,0,8,1,3,2,2,1,10,1,0,2,2,7,7,0,2,1,5,6,4,0,e
2,0,3,0,5,2,0,1,2,0,2,2,2,7,7,0,2,1,5,2,4,5,e
2,2,3,0,5,2,2,0,7,1,2,2,2,7,7,0,2,1,1,2,0,1,e
5,3,9,1,0,2,0,0,2,0,1,2,2,7,7,0,2,1,5,3,3,3,e
0,2,8,1,0,2,0,0,4,0,1,2,2,7,7,0,2,1,5,3,3,3,e
2,3,4,1,6,2,0,1,10,0,2,2,2,7,7,0,2,1,5,2,3,5,p
5,2,8,1,3,2,0,0,5,0,1,2,2,7,7,0,2,1,5,2,2,3,e
2,2,4,1,6,2,0,1,10,0,2,2,2,7,7,0,2,1,5,2,4,5,p
5,3,8,1,3,2,0,0,4,0,1,2,2,7,7,0,2,1,5,3,3,1,e
5,3,9,1,0,2,0,0,4,0,1,2,2,7,7,0,2,1,5,3,2,3,e
2,3,9,1,0,2,0,0,5,0,3,2,3,7,7,0,2,1,5,3,3,4,e
5,3,4,1,0,2,0,0,10,0,3,2,3,7,7,0,2,1,5,3,3,4,e
2,3,4,1,0,2,0,0,10,0,3,2,3,7,7,0,2,1,5,3,5,1,e
5,3,8,1,0,2,0,0,10,0,1,2,2,7,7,0,2,1,5,3,2,3,e
2,0,4,0,5,2,2,0,3,1,2,2,2,7,7,0,2,1,1,2,3,1,e
5,2,9,1,3,2,0,0,4,0,1,2,2,7,7,0,2,1,5,3,2,3,e
5,3,8,1,6,2,0,1,10,0,2,2,2,7,7,0,2,1,5,3,3,1,p
0,3,9,1,0,2,0,0,5,0,1,2,2,7,7,0,2,1,5,3,2,3,e
4,0,4,0,5,2,0,1,7,0,2,2,2,7,7,0,2,1,5,3,4,5,e
5,2,9,1,3,2,0,0,4,0,1,2,2,7,7,0,2,1,5,2,3,3,e
0,3,8,1,3,2,0,0,5,0,1,2,2,7,7,0,2,1,5,2,2,3,e
2,3,4,1,0,2,0,0,5,0,3,2,3,7,7,0,2,1,5,2,3,1,e
0,3,9,1,0,2,0,0,2,0,1,2,2,7,7,0,2,1,5,2,3,3,e
